"advertiserId";"programmeName";"conversionRate";"approvalRate";"epc";"launchDate";"paymentStatus";"paymentRiskLevel";"awinIndex";"feedEnabled";"productReporting";"commissionMin";"commissionMax";"leadMin";"leadMax";"cookieLength";"parentSectors";"subSectors";"primarySector";"averagePaymentTime";"primaryRegion";"descriptionShort";"logoUrl";"displayUrl"
"17697";"Dafiti BR";"1.98183";"81.97";"0.27";"2020-08-31";"amber";"exposurelevel2";"38.8976";"yes";"yes";"0";"0";"0.01";"0.01";"30";"Retail & Shopping";"Childrenswear|Clothing|Clothing Accessories|Menswear|Shoes|Sportswear|Womenswear|Baby & Toddler";"Clothing";"137";"BR";"A Dafiti é uma loja virtual que chegou ao mercado para transformar essa vontade em realidade, oferecendo aos consumidores uma variedade incrível de itens como, calçados femininos e masculinos, roupas, acessórios e bolsas.";"https://ui.awin.com/images/upload/merchant/profile/17697.png";"https://www.dafiti.com.br/"
"79926";"Adidas BR";"1.47315";"81.55";"0.53";"2024-09-20";"green";"none";"51.5578";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Childrenswear|Clothing|Menswear|Shoes|Sports Equipment|Sportswear|Womenswear";"Sportswear";"56";"BR";"A adidas é mais do que roupas de treino e esportivas. Temos collabs com os melhores para criar em conjunto. Assim, podemos oferecer roupas esportivas aos nossos torcedores e atletas, além de looks que tem tudo a ver com eles.";"https://ui.awin.com/images/upload/merchant/profile/79926.png";"https://www.adidas.com.br/"
"17729";"Kabum BR";"2.3529";"73.23";"1.49";"2020-08-24";"green";"none";"50.7893";"yes";"yes";"0";"0";"0";"0";"1";"Retail & Shopping";"Electronic Accessories|Electronic Superstore";"Electronic Superstore";"58";"BR";"Fundado no ano de 2003, o KaBuM! é um dos pioneiros no comércio eletrônico brasileiro e é a maior referência brasileira do varejo on-line no segmento especializado de informática e eletrônicos.";"https://ui.awin.com/images/upload/merchant/profile/17729.png";"https://www.kabum.com.br/"
"19675";"Continental BR";"4.12037";"95.00";"0.57";"2020-06-24";"amber";"exposurelevel2";"52.9271";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"White Goods";"White Goods";"82";"BR";"Desde 2017, a marca Continental passou a fazer parte do Grupo Electrolux, o que nos traz grande alegria. Trata-se de uma marca conhecida por milhões de famílias brasileiras, de várias gerações.";"https://ui.awin.com/images/upload/merchant/profile/19675.png";"https://www.continentalbrasil.com.br/"
"25539";"Samsung BR";"0.00400048";"59.53";"0.01";"2021-10-13";"amber";"exposurelevel2";"26.7926";"yes";"yes";"0";"0";"0";"0";"1";"Retail & Shopping";"Audio Visual|Electronic Accessories|Electronic Superstore|White Goods";"Electronic Superstore";"129";"BR";"Samsung é mundialmente conhecida por sua excelência e diversidade tecnológica. Consolidada, a marca vem ditando as inovações do setor tecnológico; reafirmando sua popularidade mundo afora.";"https://ui.awin.com/images/upload/merchant/profile/25539.png";"https://shop.samsung.com/br/desconto-samsung"
"121392";"Aramis BR";"5.89723";"89.37";"2.49";"2025-11-24";"green";"none";"66.3608";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Clothing";"Clothing";"57";"BR";"A Aramis é uma marca brasileira de moda masculina que se destaca pelo estilo moderno, sofisticado e de alta qualidade, focada em um lifestyle completo para o homem contemporâneo.";"https://ui.awin.com/images/upload/merchant/profile/121392.png";"https://www.aramis.com.br/"
"112756";"Lacoste BR";"5.32256";"79.50";"1.87";"2025-05-22";"green";"none";"66.6193";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Clothing|Clothing Accessories";"Clothing";"41";"BR";"A Lacoste é uma marca francesa de moda fundada em 1933 por René Lacoste e André Gillier, reconhecida mundialmente por seu icônico logotipo do crocodilo.";"https://ui.awin.com/images/upload/merchant/profile/112756.png";"https://www.lacoste.com/br/"
"108626";"Arno BR";"5.25482";"91.61";"1.87";"2025-02-25";"green";"none";"72.0014";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Home & Garden|White Goods";"Home & Garden";"44";"BR";"Com mais de 80 anos de tradição, a Arno é uma marca que se destaca pela inovação e qualidade de seus produtos.";"https://ui.awin.com/images/upload/merchant/profile/108626.png";"https://www.arno.com.br/"
"71273";"Outlet de Passagens BR";"4.43891";"90.50";"0.30";"2024-10-03";"amber";"exposurelevel2";"45.192";"no";"no";"0";"0";"0";"0";"30";"Travel";"Tourism & Attractions|Travel Agencies";"Tourism & Attractions";"133";"BR";"O Outlet de Passagens é um site de vendas de passagens rodoviárias para quem tem flexibilidade na hora de viajar e quer pagar pouco na passagem, oferecemos até 50% de desconto na passagem viajando com as principais empresas do Brasil com total segurança.";"https://ui.awin.com/images/upload/merchant/profile/71273.png";"https://www.outletdepassagens.com.br/"
"106747";"Alianças Imperiais BR";"9.79553";"69.57";"2.35";"2024-10-30";"amber";"exposurelevel2";"80.6681";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Jewellery";"Jewellery";"29";"BR";"Desde 2012 realizando sonhos, somos o maior ecommerce de alianças de moedas antigas e prata do Brasil, alianças de casamento, anéis de noivado e formatura.";"https://ui.awin.com/images/upload/merchant/profile/106747.png";"https://www.aliancasimperiais.com.br/"
